Date,High ,Low,Open,Close,Volume
10/9/2020,1.17667,1.1831,1.17576,1.18248,1032618
10/11/2020,1.18103,1.18226,1.18102,1.18157,28737
10/12/2020,1.18156,1.18266,1.17867,1.18129,950522
10/13/2020,1.18127,1.18139,1.17304,1.1742,1201647
10/14/2020,1.17419,1.1771,1.17199,1.17447,1142152
10/15/2020,1.17444,1.17578,1.16884,1.17064,1050049
10/16/2020,1.17065,1.17462,1.16939,1.17132,929532
10/18/2020,1.17181,1.17209,1.17112,1.17156,8784
10/19/2020,1.17154,1.17936,1.17031,1.17683,689675
10/20/2020,1.17683,1.18407,1.17598,1.1829,811258
10/21/2020,1.18289,1.18807,1.1828,1.18516,948221
10/22/2020,1.18516,1.18668,1.18114,1.18146,932253
10/23/2020,1.18143,1.18648,1.17866,1.18572,878059
10/25/2020,1.18546,1.18605,1.18392,1.18479,21796
10/26/2020,1.18479,1.18504,1.18032,1.18091,845760
10/27/2020,1.18092,1.18387,1.17695,1.17815,814000
10/28/2020,1.17818,1.17879,1.17178,1.17482,1028904
10/29/2020,1.17482,1.17587,1.16501,1.16783,779709
10/30/2020,1.16782,1.17042,1.164,1.16431,900547
11/1/2020,1.16498,1.16503,1.16386,1.16416,10972
11/2/2020,1.16415,1.16557,1.16221,1.16404,827464
11/3/2020,1.16405,1.17639,1.16372,1.17616,660777
11/4/2020,1.17617,1.17704,1.16026,1.17321,1295230
11/5/2020,1.17321,1.18596,1.17107,1.18167,954533
11/6/2020,1.18169,1.18908,1.17952,1.187,499448
11/8/2020,1.18898,1.1895,1.18833,1.18924,11418
11/9/2020,1.18924,1.19199,1.17952,1.1824,695857
11/10/2020,1.1824,1.18432,1.17799,1.18184,627031
11/11/2020,1.18183,1.18327,1.17454,1.17792,422653
11/12/2020,1.17792,1.18231,1.17585,1.18038,454106
11/13/2020,1.18039,1.18374,1.17989,1.1831,378812
11/15/2020,1.18411,1.18488,1.18288,1.18448,9467
11/16/2020,1.18447,1.18689,1.18141,1.18592,388903
11/17/2020,1.18593,1.18937,1.18425,1.18636,335345
11/18/2020,1.18637,1.18908,1.18448,1.18451,358183
11/19/2020,1.18452,1.18825,1.18161,1.18653,416514
11/20/2020,1.18655,1.18908,1.18498,1.18544,386960
11/22/2020,1.18538,1.18659,1.18528,1.18654,7553
11/23/2020,1.18655,1.1906,1.17997,1.18422,375068
11/24/2020,1.18422,1.18978,1.18384,1.18974,450088
11/25/2020,1.18976,1.19297,1.18818,1.19162,434676
11/26/2020,1.19164,1.19409,1.18852,1.19109,310771
11/27/2020,1.1911,1.19641,1.19094,1.1962,294695
11/29/2020,1.19614,1.19738,1.1961,1.19721,5690
11/30/2020,1.19722,1.20032,1.19236,1.19374,428158
12/1/2020,1.19372,1.20765,1.19353,1.20706,329953
12/2/2020,1.20707,1.21183,1.20399,1.21138,355708
12/3/2020,1.21137,1.21746,1.2101,1.21449,370344
12/4/2020,1.21449,1.21773,1.21101,1.21202,419215
12/6/2020,1.21308,1.21324,1.21195,1.212,7103
12/7/2020,1.21199,1.21662,1.20784,1.21092,402011
12/8/2020,1.21091,1.21339,1.20953,1.21094,342812
12/9/2020,1.21095,1.21475,1.20587,1.20784,239324
12/10/2020,1.20784,1.21588,1.20784,1.21433,236023
12/11/2020,1.21434,1.21629,1.21053,1.21086,192921
12/13/2020,1.21367,1.21435,1.21324,1.21331,5048
12/14/2020,1.21331,1.21767,1.21155,1.21486,160650
12/15/2020,1.21485,1.21689,1.2121,1.21543,143327
12/16/2020,1.21543,1.22121,1.2125,1.21961,173035
12/17/2020,1.21961,1.22726,1.21898,1.22614,169622
12/18/2020,1.22613,1.22687,1.22255,1.22559,159209
12/20/2020,1.2221,1.22348,1.22113,1.22118,5812
12/21/2020,1.22118,1.22529,1.21296,1.22346,232245
12/22/2020,1.22347,1.2257,1.2152,1.21872,203062
12/23/2020,1.21871,1.2221,1.21538,1.21939,186486
12/24/2020,1.2194,1.22156,1.21773,1.2182,150079
12/25/2020,1.21816,1.22031,1.21709,1.21922,3972
12/27/2020,1.2186,1.22072,1.21811,1.22038,6150
12/28/2020,1.22039,1.22502,1.21811,1.22196,137281
12/29/2020,1.22196,1.2275,1.22193,1.22519,152122
12/30/2020,1.2252,1.23101,1.22511,1.22984,157643
12/31/2020,1.22986,1.23092,1.22091,1.22141,162462
